,Acanthiza chrysorrhoa,Acanthiza lineata,Acanthiza nana,Acanthiza pusilla,Acanthiza reguloides,Acanthiza uropygialis,Acanthorhynchus tenuirostris,Accipiter cirrocephalus,Aidemosyne modesta,Alauda arvensis,Anhinga novaehollandiae,Anthochaera phrygia,Antigone rubicunda,Artamus cinereus,Artamus cyanopterus,Artamus minor,Artamus superciliosus,Barnardius zonarius,Callocephalon fimbriatum,Calyptorhynchus banksii,Calyptorhynchus lathami,Capra Hircus,Carduelis carduelis,Carterornis leucotis,Cervus Unicolour,Ceyx azureus,Chenonetta jubata,Chlamydera nuchalis,Cincloramphus mathewsi,Cinclosoma punctatum,Cisticola exilis,Climacteris picumnus,Colluricincla harmonica,Conopophila albogularis,Cophixalus exiguus,Cophixalus infacetus,Cophixalus ornatus,Coracina novaehollandiae,Coracina papuensis,Corcorax melanorhamphos,Cormobates leucophaea,Corvus mellori,Coturnix pectoralis,Cygnus atratus,Dama Dama,Daphoenositta chrysoptera,Dasyurus maculatus,Dicaeum hirundinaceum,Egretta novaehollandiae,Elseyornis melanops,Entomyzon cyanotis,Eurostopodus argus,Eurostopodus mystacalis,Eurystomus orientalis,Falco berigora,Falco cenchroides,Falco peregrinus,Falcunculus frontatus,Felis Catus,Fulica atra,Gallinula tenebrosa,Geopelia cuneata,Gerygone mouki,Haliastur sphenurus,Irediparra gallinacea,Lalage leucomela,Litoria inermis,Manorina melanophrys,Megapodius reinwardt,Melithreptus brevirostris,Melithreptus gularis,Melithreptus lunatus,Microeca flavigaster,Neophema pulchella,Nesoptilotis leucotis,Pachycephala simplex,Pardalotus rubricatus,Parvipsitta pusilla,Pelecanus conspicillatus,Petrochelidon ariel,Petrochelidon nigricans,Petroica boodang,Petroica goodenovii,Petroica phoenicea,Petroica rosea,Pezoporus wallicus,Phaps elegans,Philemon citreogularis,Philemon corniculatus,Phylidonyris niger,Pitta iris,Pitta versicolor,Platycercus elegans,Plectorhyncha lanceolata,Psophodes cristatus,Ptilinopus regina,Pycnoptilus floccosus,Ramsayornis fasciatus,Ranoidea caerulea,Rattus Norvegicus,Rhinella marina,Rhipidura albiscapa,Rhipidura leucophrys,Rhipidura rufifrons,Rhipidura rufiventris,Scythrops novaehollandiae,Spilopelia chinensis,Stizoptera bichenovii,Stomiopera unicolor,Strepera versicolor,Sus Scrofa,Symposiachrus trivirgatus,Tregellasia capito,Trichosurus vulpecula,Uperoleia altissima,Uperoleia mimula,Vanellus miles,Vulpes vulpes,brant,jabwar,sheowl,spodov,wiltur
Acanthiza chrysorrhoa,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthiza lineata,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthiza nana,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthiza pusilla,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthiza reguloides,0,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthiza uropygialis,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthorhynchus tenuirostris,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accipiter cirrocephalus,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aidemosyne modesta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alauda arvensis,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
